City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hilo,US,67.73,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
4,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
5,Lorengau,PG,80.8,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
7,Port Alfred,ZA,80.51,clear sky,-33.5906,26.891,The Halyards Hotel
9,Naze,JP,62.06,overcast clouds,28.3667,129.4833,Shishime Hotel
11,Cabo San Lucas,MX,66.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
14,Panama City,PA,89.17,few clouds,8.9936,-79.5197,Riande Urban Hotel
16,Hithadhoo,MV,81.93,broken clouds,-0.6,73.0833,Scoop Guest House
17,Concepcion,CL,80.4,clear sky,-36.827,-73.0498,Hotel El Araucano
18,Barbate,ES,68.09,overcast clouds,36.1924,-5.9219,Hotel Adiafa
22,Havelock,US,63.99,broken clouds,34.8791,-76.9013,Sherwood Motel
24,Rikitea,PF,78.93,light rain,-23.1203,-134.9692,People ThankYou
26,Hermanus,ZA,76.89,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
27,Esperance,AU,65.1,overcast clouds,-33.8667,121.9,Hospitality Esperance
31,Chuy,UY,75.52,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
32,Ixtapa,MX,68.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
38,Adrar,MR,78.76,scattered clouds,20.5022,-10.0711,
39,Kahului,US,71.83,clear sky,20.8947,-156.47,Maui Seaside Hotel
41,San Patricio,US,62.91,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
44,Charters Towers,AU,74.34,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
46,Port Elizabeth,ZA,78.1,clear sky,-33.918,25.5701,39 On Nile Guest House
47,Yarada,IN,79.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
48,Arraial Do Cabo,BR,80.46,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
51,Meulaboh,ID,79.21,broken clouds,4.1363,96.1285,Kost Pria
