City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,2022-02-12 15:11:19,19.7297,-155.09,67.73,84,100,1.01,overcast clouds
1,Punta Arenas,CL,2022-02-12 15:06:58,-53.15,-70.9167,57.31,47,40,36.82,scattered clouds
2,Sofiyivka,UA,2022-02-12 15:11:19,48.0493,33.8746,35.98,71,100,18.75,overcast clouds
3,Qaanaaq,GL,2022-02-12 15:11:19,77.484,-69.3632,-21.21,48,0,8.55,clear sky
4,Georgetown,MY,2022-02-12 15:11:11,5.4112,100.3354,83.89,74,20,1.99,few clouds
5,Lorengau,PG,2022-02-12 15:11:20,-2.0226,147.2712,80.8,75,92,3.33,overcast clouds
6,Vitim,RU,2022-02-12 15:11:20,59.4511,112.5578,-22.92,100,23,1.12,few clouds
7,Port Alfred,ZA,2022-02-12 15:11:20,-33.5906,26.891,80.51,78,9,18.75,clear sky
8,Srednekolymsk,RU,2022-02-12 15:11:21,67.45,153.6833,-33.2,98,58,7.16,broken clouds
9,Naze,JP,2022-02-12 15:11:21,28.3667,129.4833,62.06,89,100,14.43,overcast clouds
10,Barrow,US,2022-02-12 15:11:21,71.2906,-156.7887,-30.98,100,0,8.05,clear sky
11,Cabo San Lucas,MX,2022-02-12 15:08:03,22.8909,-109.9124,66.51,49,40,6.91,scattered clouds
12,Susanino,RU,2022-02-12 15:11:21,58.1461,41.5872,19.9,92,90,9.28,overcast clouds
13,Shihezi,CN,2022-02-12 15:11:22,44.3,86.0333,11.48,95,100,1.68,overcast clouds
14,Panama City,PA,2022-02-12 15:09:08,8.9936,-79.5197,89.17,58,13,5.99,few clouds
15,Albany,US,2022-02-12 15:11:12,42.6001,-73.9662,48.4,62,100,8.99,overcast clouds
16,Hithadhoo,MV,2022-02-12 15:11:21,-0.6,73.0833,81.93,66,76,8.75,broken clouds
17,Concepcion,CL,2022-02-12 15:11:22,-36.827,-73.0498,80.4,34,0,9.22,clear sky
18,Barbate,ES,2022-02-12 15:11:23,36.1924,-5.9219,68.09,57,93,12.39,overcast clouds
19,Bluff,NZ,2022-02-12 15:11:23,-46.6,168.3333,51.8,65,81,15.1,broken clouds
20,Tuktoyaktuk,CA,2022-02-12 15:11:23,69.4541,-133.0374,-30.86,100,39,5.28,scattered clouds
21,Dakar,SN,2022-02-12 15:06:24,14.6937,-17.4441,90.48,49,21,19.35,few clouds
22,Havelock,US,2022-02-12 15:09:29,34.8791,-76.9013,63.99,58,59,5.01,broken clouds
23,Beyneu,KZ,2022-02-12 15:11:24,45.3167,55.2,40.62,81,99,12.75,overcast clouds
24,Rikitea,PF,2022-02-12 15:11:24,-23.1203,-134.9692,78.93,70,63,13.98,light rain
25,Urumqi,CN,2022-02-12 15:11:24,43.801,87.6005,11.35,85,75,2.24,mist
26,Hermanus,ZA,2022-02-12 15:11:25,-34.4187,19.2345,76.89,79,94,10.13,overcast clouds
27,Esperance,AU,2022-02-12 15:11:07,-33.8667,121.9,65.1,73,99,14.99,overcast clouds
28,Dikson,RU,2022-02-12 15:11:25,73.5069,80.5464,0.73,76,100,27.47,overcast clouds
29,Hobart,AU,2022-02-12 15:11:25,-42.8794,147.3294,57.06,71,90,9.22,overcast clouds
30,Lamlash,GB,2022-02-12 15:11:26,55.5336,-5.1296,51.76,78,70,19.51,broken clouds
31,Chuy,UY,2022-02-12 15:11:26,-33.6971,-53.4616,75.52,76,100,4.34,light rain
32,Ixtapa,MX,2022-02-12 15:11:26,20.7,-105.2,68.23,72,0,4.61,clear sky
33,Sovetskiy,RU,2022-02-12 15:11:26,61.3614,63.5842,5.63,95,100,7.11,overcast clouds
34,Upernavik,GL,2022-02-12 15:11:27,72.7868,-56.1549,-4.68,98,100,13.62,light snow
35,Grindavik,IS,2022-02-12 15:11:27,63.8424,-22.4338,25.27,74,0,11.5,clear sky
36,Busselton,AU,2022-02-12 15:11:27,-33.65,115.3333,59.09,67,0,15.1,clear sky
37,Arman,RU,2022-02-12 15:11:28,59.7,150.1667,-7.92,80,91,7.67,overcast clouds
38,Adrar,MR,2022-02-12 15:11:28,20.5022,-10.0711,78.76,15,28,14.67,scattered clouds
39,Kahului,US,2022-02-12 15:11:28,20.8947,-156.47,71.83,83,0,4.0,clear sky
40,Ushuaia,AR,2022-02-12 15:11:29,-54.8,-68.3,49.62,61,75,40.29,light intensity drizzle
41,San Patricio,US,2022-02-12 15:11:29,28.017,-97.5169,62.91,82,0,12.17,clear sky
42,Khatanga,RU,2022-02-12 15:11:29,71.9667,102.5,-12.03,84,97,8.63,overcast clouds
43,Leningradskiy,RU,2022-02-12 15:11:29,69.3833,178.4167,-21.82,98,97,3.91,overcast clouds
44,Charters Towers,AU,2022-02-12 15:11:30,-20.1,146.2667,74.34,76,3,11.61,clear sky
45,Lasa,IT,2022-02-12 15:12:30,46.6166,10.7002,44.51,61,0,3.13,clear sky
46,Port Elizabeth,ZA,2022-02-12 15:10:15,-33.918,25.5701,78.1,79,4,15.64,clear sky
47,Yarada,IN,2022-02-12 15:12:30,17.65,83.2667,79.12,73,40,4.61,mist
48,Arraial Do Cabo,BR,2022-02-12 15:12:31,-22.9661,-42.0278,80.46,74,75,5.75,broken clouds
49,Vestmannaeyjar,IS,2022-02-12 15:12:31,63.4427,-20.2734,30.49,78,40,5.99,scattered clouds
50,Yellowknife,CA,2022-02-12 15:12:31,62.456,-114.3525,-27.58,91,20,5.01,few clouds
51,Meulaboh,ID,2022-02-12 15:12:31,4.1363,96.1285,79.21,82,71,2.15,broken clouds
52,Bethel,US,2022-02-12 15:08:44,41.3712,-73.414,55.49,55,20,8.05,few clouds
53,Atuona,PF,2022-02-12 15:12:32,-9.8,-139.0333,76.89,79,10,12.88,light rain
54,Puerto Ayora,EC,2022-02-12 15:12:32,-0.7393,-90.3518,78.76,89,100,1.01,overcast clouds
55,Flinders,AU,2022-02-12 15:12:32,-34.5833,150.8552,67.8,92,95,4.0,overcast clouds
56,Envira,BR,2022-02-12 15:11:15,-7.3,-70.2167,81.77,78,95,3.2,overcast clouds
57,Mataura,NZ,2022-02-12 15:12:33,-46.1927,168.8643,51.48,90,100,3.27,overcast clouds
58,Maridi,SS,2022-02-12 15:12:33,4.9158,29.4742,94.98,16,78,10.83,broken clouds
