City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-02-05 00:12:37,-54.8,-68.3,51.46,62,0,11.5
1,Te Anau,NZ,2022-02-05 00:15:32,-45.4167,167.7167,58.87,46,24,4.05
2,Jamestown,US,2022-02-05 00:17:24,42.097,-79.2353,19.29,51,100,3.44
3,Norman Wells,CA,2022-02-05 00:17:25,65.282,-126.8329,-11.16,64,75,19.57
4,Rikitea,PF,2022-02-05 00:17:25,-23.1203,-134.9692,79.02,67,5,5.97
5,Kodiak,US,2022-02-05 00:17:26,57.79,-152.4072,38.71,81,75,4.61
6,Carnarvon,AU,2022-02-05 00:17:26,-24.8667,113.6333,88.41,33,80,10.4
7,Wadi Maliz,TN,2022-02-05 00:17:26,36.4681,8.5495,48.65,52,60,4.45
8,Yatou,CN,2022-02-05 00:17:27,37.15,122.3833,26.19,48,79,12.37
9,Atuona,PF,2022-02-05 00:12:30,-9.8,-139.0333,78.4,77,25,16.58
10,Busselton,AU,2022-02-05 00:17:27,-33.65,115.3333,79.61,37,1,2.48
11,Hokitika,NZ,2022-02-05 00:17:28,-42.7167,170.9667,62.47,81,100,7.56
12,Baykit,RU,2022-02-05 00:17:28,61.67,96.37,10.69,97,100,3.0
13,Geraldton,AU,2022-02-05 00:17:28,-28.7667,114.6,95.41,11,0,17.27
14,Cayenne,GF,2022-02-05 00:17:29,4.9333,-52.3333,79.09,88,75,3.0
15,Avarua,CK,2022-02-05 00:17:29,-21.2078,-159.775,82.45,74,40,14.97
16,Puerto Ayora,EC,2022-02-05 00:17:30,-0.7393,-90.3518,75.54,92,81,5.01
17,Shimoda,JP,2022-02-05 00:17:30,34.6667,138.95,44.96,62,22,28.79
18,Hermanus,ZA,2022-02-05 00:17:30,-34.4187,19.2345,63.81,69,1,18.5
19,Alofi,NU,2022-02-05 00:17:31,-19.0595,-169.9187,82.29,83,100,10.36
20,Kananga,CD,2022-02-05 00:17:31,-5.8958,22.4178,66.38,91,99,1.43
21,Noumea,NC,2022-02-05 00:17:32,-22.2763,166.4572,89.58,73,100,7.63
22,Bluff,NZ,2022-02-05 00:17:32,-46.6,168.3333,57.79,57,90,5.57
23,Obo,CF,2022-02-05 00:17:32,5.3998,26.4869,73.78,24,99,4.56
24,Yellowknife,CA,2022-02-05 00:16:39,62.456,-114.3525,-26.45,80,40,2.3
25,Lasa,IT,2022-02-05 00:17:33,46.6166,10.7002,38.66,74,65,5.91
26,Hambantota,LK,2022-02-05 00:17:33,6.1241,81.1185,72.84,87,24,7.05
27,Itarema,BR,2022-02-05 00:17:34,-2.9248,-39.9167,79.38,79,62,10.85
28,Mahebourg,MU,2022-02-05 00:15:03,-20.4081,57.7,79.25,86,100,18.81
29,Durusu,TR,2022-02-05 00:17:34,41.3053,28.6767,35.83,77,5,5.99
30,Barrow,US,2022-02-05 00:17:35,71.2906,-156.7887,-20.18,69,100,9.22
31,Port Hardy,CA,2022-02-05 00:14:34,50.6996,-127.4199,44.76,90,100,11.48
32,Punta Arenas,CL,2022-02-05 00:17:35,-53.15,-70.9167,51.91,62,0,3.44
33,Luderitz,NA,2022-02-05 00:16:14,-26.6481,15.1594,67.17,74,9,4.18
34,Bengkulu,ID,2022-02-05 00:17:36,-3.8004,102.2655,73.27,92,100,3.36
35,Kaitangata,NZ,2022-02-05 00:17:36,-46.2817,169.8464,58.39,48,91,5.46
36,Snihurivka,UA,2022-02-05 00:17:36,47.0758,32.8052,24.66,73,1,4.07
37,Goba,ET,2022-02-05 00:16:13,7.0167,39.9833,48.99,38,0,3.83
38,Bredasdorp,ZA,2022-02-05 00:17:37,-34.5322,20.0403,67.32,64,45,12.66
39,Sakassou,CI,2022-02-05 00:17:37,7.4546,-5.2926,78.48,22,6,2.3
40,Beringovskiy,RU,2022-02-05 00:16:18,63.05,179.3167,-7.74,86,69,11.83
41,Iqaluit,CA,2022-02-05 00:17:37,63.7506,-68.5145,-16.87,52,75,8.05
42,Port Macquarie,AU,2022-02-05 00:17:30,-31.4333,152.9167,73.89,56,83,15.9
43,Tuatapere,NZ,2022-02-05 00:17:38,-46.1333,167.6833,57.81,56,91,5.23
